2008-06-03 17:00,27.0,29.2,22.0,74,1009,10.0,W,9.3,PartlyCloudy,
2008-06-03 18:00,26.0,-,22.0,78,1009,-,WNW,7.4,Clear,
2008-06-03 19:00,25,-,22,75,1009,10,Calm,Calm,PartlyCloudy,
2008-06-03 19:00,25.0,-,22.0,83,1009,-,Calm,Calm,Clear,
2008-06-04 07:00,23,-,21,85,1011,10,Calm,Calm,PartlyCloudy,
2008-06-04 07:00,23.0,-,21.0,88,1011,10.0,Calm,Calm,Overcast,
2008-06-04 08:00,23.0,-,21.0,88,1011,10.0,S,5.6,Overcast,
2008-06-04 09:00,24.0,-,21.0,83,1012,10.0,ESE,5.6,MostlyCloudy,
2008-06-04 10:00,27.0,28.9,21.0,70,1012,10.0,SSW,5.6,ScatteredClouds,
2008-06-04 11:00,28.0,30.2,21.0,66,1011,10.0,WSW,7.4,ScatteredClouds,
2008-06-04 12:00,29.0,31.3,21.0,62,1011,10.0,NNW,9.3,MostlyCloudy,
2008-06-04 13:00,29,-,21,55,1010,10,NW,11.1,PartlyCloudy,
2008-06-04 13:00,29.0,31.3,21.0,62,1010,10.0,NW,11.1,MostlyCloudy,
2008-06-04 14:00,29.0,31.3,21.0,62,1010,10.0,W,18.5,ScatteredClouds,
2008-06-04 15:00,28.0,30.7,22.0,70,1009,10.0,WNW,14.8,MostlyCloudy,
2008-06-04 16:00,27.0,29.2,22.0,74,1009,10.0,SW,11.1,MostlyCloudy,
2008-06-04 17:00,27.0,29.2,22.0,74,1009,-,W,13.0,Clear,
2008-06-04 18:00,26.0,-,22.0,78,1009,-,W,7.4,Clear,
2008-06-04 19:00,25,-,22,75,1010,10,W,7.4,PartlyCloudy,
2008-06-04 19:00,25.0,-,22.0,83,1010,-,W,7.4,Clear,
2008-06-05 07:00,19.0,-,17.0,88,1011,-,Calm,Calm,Clear,
2008-06-05 08:00,23.0,-,19.0,78,1011,-,Calm,Calm,Clear,
2008-06-05 09:00,26.0,-,20.0,69,1012,-,N,5.6,Clear,
2008-06-05 10:00,28.0,29.7,20.0,62,1012,-,W,5.6,Clear,
2008-06-05 11:00,30.0,32.4,21.0,58,1011,-,W,7.4,Clear,
2008-06-05 12:00,29.0,30.7,20.0,58,1011,-,NW,13.0,Clear,
2008-06-05 13:00,28,-,21,55,1010,10,WNW,16.7,PartlyCloudy,
2008-06-05 13:00,28.0,30.2,21.0,66,1010,-,WNW,16.7,Clear,
2008-06-05 14:00,29.0,31.3,21.0,62,1010,-,NW,14.8,Clear,
2008-06-05 15:00,29.0,31.3,21.0,62,1009,-,WNW,18.5,Clear,
2008-06-05 16:00,28.0,30.2,21.0,66,1009,-,W,14.8,Clear,
2008-06-05 17:00,27.0,28.9,21.0,70,1009,-,W,20.4,Clear,
2008-06-05 18:00,24.0,-,20.0,78,1010,-,W,5.6,Clear,
2008-06-05 19:00,24,-,20,73,1011,10,WSW,7.4,PartlyCloudy,
2008-06-05 19:00,24.0,-,20.0,78,1010,-,WSW,7.4,Clear,
2008-06-06 07:00,24,-,20,74,1012,10,Calm,Calm,PartlyCloudy,
2008-06-06 07:00,24.0,-,20.0,78,1012,10.0,Calm,Calm,ScatteredClouds,
2008-06-06 08:00,25.0,-,20.0,74,1012,-,S,11.1,Clear,
