-1.372641,-89.740214,Water areas
-1.3728941,-89.7401542,Water areas
-1.3728809,-89.7401401,Water areas
-1.3728911,-89.7401596,Water areas
-1.3729121,-89.740127,Water areas
-1.3729037,-89.7401672,Water areas
-1.3729107,-89.7401569,Water areas
-1.3728967,-89.7401463,Water areas
-1.3728937,-89.7401196,Water areas
-1.3729052,-89.7401364,Water areas
-1.3729019,-89.740146,Water areas
-1.3728832,-89.7401517,Water areas
-1.3728754,-89.7401196,Water areas
-1.3728957,-89.74014,Water areas
-1.3729115,-89.7401214,Water areas
-1.3729061,-89.7401183,Water areas
-1.3728955,-89.7401015,Water areas
-1.3728855,-89.7401408,Water areas
-1.372825,-89.7400721,Water areas
-1.3728943,-89.7401549,Water areas
-1.3728729,-89.7401321,Water areas
-1.3729269,-89.7401157,Water areas
-1.3728923,-89.7401357,Water areas
-1.3818666,-89.7492421,Water areas
-1.3691129,-89.7784266,Water areas
-1.3448136,-89.806247,Water areas
-1.3294317,-89.8252467,Water areas
-1.3172134,-89.8397575,Water areas
-1.3115899,-89.8560673,Water areas
-1.3089222,-89.8666367,Water areas
-1.3082411,-89.8836677,Water areas
-1.1941339,-89.9544698,Water areas
-1.1757465,-89.9734864,Water areas
-1.1570899,-89.8321445,Water areas
-1.1561492,-89.8067294,Water areas
-1.163586,-89.7741432,Water areas
-1.2473261,-89.7043284,Water areas
-1.3371787,-89.5823878,Water areas
-1.4098209,-89.5565333,Water areas
-1.4312746,-89.239548,Water areas
-1.4486217,-89.1429952,Water areas
-1.4387376,-89.1433914,Water areas
-1.429316,-89.1466328,Water areas
-1.4170491,-89.1502671,Water areas
-1.4020765,-89.1577098,Water areas
-1.3901489,-89.1650814,Water areas
-1.3818097,-89.1685552,Water areas
-1.3513545,-88.8940771,Water areas
-1.3504987,-88.4749844,Water areas
-1.384823,-88.1775151,Water areas
-1.3879622,-87.8555338,Water areas
-1.3524649,-87.6057241,Water areas
-1.3727641,-87.3240366,Water areas
-1.4354628,-87.0003126,Water areas
-1.5204,-86.5922919,Water areas
-1.6373257,-86.1924768,Water areas
-1.6657358,-86.0601395,Water areas
-1.653676,-86.0344032,Water areas
-1.645807,-86.0076571,Water areas
-1.6382551,-85.9770064,Water areas
-1.6305617,-85.9462586,Water areas
-1.6274378,-85.9216802,Water areas
-1.6366359,-85.891582,Water areas
-1.8018884,-85.5212686,Water areas
-1.9960011,-85.1520954,Water areas
-2.1132948,-84.8186261,Water areas
-2.1851447,-84.5944365,Water areas
-2.3324802,-84.2529815,Water areas
-2.523701,-83.9482547,Water areas
-2.7179579,-83.6201978,Water areas
-2.8489478,-83.2885561,Water areas
-2.9557974,-82.9550302,Water areas
-2.9619293,-82.9460021,Water areas
-2.9647618,-82.944184,Water areas
-2.9656506,-82.9395923,Water areas
-2.9639973,-82.9344613,Water areas
-2.9550057,-82.9317154,Water areas
-2.9464428,-82.9267393,Water areas
-2.94381,-82.9212293,Water areas
-3.0869005,-82.5409283,Water areas
-3.214224,-82.1438516,Water areas
-3.3409866,-81.8830355,Water areas
-3.5504143,-81.5273391,Water areas
-3.8688494,-81.3124842,Water areas
-4.1700584,-81.2016372,Water areas
-4.3416669,-81.3461795,Water areas
-4.6580162,-81.3640142,Water areas
-4.8815024,-81.3115006,Water areas
-4.8622656,-81.3146877,Water areas
-4.8437698,-81.3183815,Water areas
-4.8250013,-81.3244951,Water areas
-4.8104232,-81.3379452,Water areas
-4.7967001,-81.3557514,Water areas
-4.7817601,-81.3709979,Water areas
-4.7842753,-81.3909565,Water areas
-5.0904803,-81.352289,Water areas
-5.5153738,-81.332442,Water areas
-5.7008941,-81.2591445,Water areas
-5.8686382,-81.2007904,Water areas
-6.1820967,-81.0974747,Water areas
-6.537693,-80.8713577,Water areas
